name,category,cat_code,addr,road_addr,x,y,do,si,gu,시군구,시도,시군구(특별)
쉼멍스테이,숙박,AD5,제주특별자치도 서귀포시 대정읍 동일리 3006,제주특별자치도 서귀포시 대정읍 신영로 16-14,33.2236358688499,126.245981104621,제주특별자치도,서귀포시,대정읍,서귀포시,제주특별자치도,서귀포시
늘바다애견동반펜션,숙박,AD5,제주특별자치도 서귀포시 안덕면 창천리 901-6,제주특별자치도 서귀포시 안덕면 대평로 38,33.237243150763,126.363608985425,제주특별자치도,서귀포시,안덕면,서귀포시,제주특별자치도,서귀포시
씨사이드아덴리조트,숙박,AD5,제주특별자치도 서귀포시 색달동 2864-32,제주특별자치도 서귀포시 중문관광로 124,33.24844705285402,126.41414450113662,제주특별자치도,서귀포시,색달동,서귀포시,제주특별자치도,서귀포시
더리트리브,카페,CE7,제주특별자치도 서귀포시 안덕면 화순리 241,제주특별자치도 서귀포시 안덕면 화순로 67,33.2479981394688,126.33855714798096,제주특별자치도,서귀포시,안덕면,서귀포시,제주특별자치도,서귀포시
씨에나펜션,숙박,AD5,제주특별자치도 서귀포시 하예동 351-4,제주특별자치도 서귀포시 예래로 267,33.2421327739963,126.385693882976,제주특별자치도,서귀포시,하예동,서귀포시,제주특별자치도,서귀포시
제주행복스케치펜션,숙박,AD5,제주특별자치도 서귀포시 상예동 283,제주특별자치도 서귀포시 예래로68번길 44-31,33.2587577329975,126.40140578718432,제주특별자치도,서귀포시,상예동,서귀포시,제주특별자치도,서귀포시
뷰티플하우스,숙박,AD5,제주특별자치도 서귀포시 대포동 1266,제주특별자치도 서귀포시 이어도로253번길 2,33.243372093041245,126.44668990628152,제주특별자치도,서귀포시,대포동,서귀포시,제주특별자치도,서귀포시
바다스케치,숙박,AD5,제주특별자치도 서귀포시 안덕면 사계리 150,제주특별자치도 서귀포시 안덕면 사계남로216번길 52,33.2349074667293,126.309750296371,제주특별자치도,서귀포시,안덕면,서귀포시,제주특별자치도,서귀포시
레이지박스,카페,CE7,제주특별자치도 서귀포시 안덕면 사계리 177-5,제주특별자치도 서귀포시 안덕면 산방로 208,33.2364250122349,126.312866930095,제주특별자치도,서귀포시,안덕면,서귀포시,제주특별자치도,서귀포시
앙크레펜션,숙박,AD5,제주특별자치도 서귀포시 법환동 1027,제주특별자치도 서귀포시 법환로58번길 39,33.2420531931958,126.509931891558,제주특별자치도,서귀포시,법환동,서귀포시,제주특별자치도,서귀포시
바산올레펜션,숙박,AD5,제주특별자치도 서귀포시 안덕면 창천리 844-15,제주특별자치도 서귀포시 안덕면 대평로 29,33.2365954569415,126.363896923415,제주특별자치도,서귀포시,안덕면,서귀포시,제주특별자치도,서귀포시
오션브릭풀빌라,숙박,AD5,제주특별자치도 서귀포시 안덕면 화순리 2021,제주특별자치도 서귀포시 안덕면 산방로 75-3,33.2420271360949,126.3249561661,제주특별자치도,서귀포시,안덕면,서귀포시,제주특별자치도,서귀포시
러디스,카페,CE7,제주특별자치도 서귀포시 강정동 708,제주특별자치도 서귀포시 월드컵로 202,33.231808092177,126.505631116987,제주특별자치도,서귀포시,강정동,서귀포시,제주특별자치도,서귀포시
제주앓이펜션,숙박,AD5,제주특별자치도 서귀포시 강정동 1959-1,제주특별자치도 서귀포시 일주서로 166-56,33.2551321865718,126.491512536956,제주특별자치도,서귀포시,강정동,서귀포시,제주특별자치도,서귀포시
멍우주,카페,CE7,제주특별자치도 서귀포시 안덕면 창천리 784,제주특별자치도 서귀포시 안덕면 난드르로 49-75,33.2326146979667,126.367235494357,제주특별자치도,서귀포시,안덕면,서귀포시,제주특별자치도,서귀포시
